DESCRIPCION;T.M.;MES;year
3 Fruta Recibida;11220.66;junio;2019
2 Fruta Proyectada;19000.00;junio;2019
4 Fruta Recibida;17306.23;junio;2020
5 Fruta proyectada;18664.79;junio;2020
5 Fruta recibida;13428.16;junio;2021
3 Fruta Proyectada;15500.00;junio;2021
6 Fruta recibida;18619.52;junio;2022
4 Fruta Proyectada;15000.00;junio;2022
7 Fruta Recibida;20959.36;junio;2023
6 Fruta Proyectada;23000.00;junio;2023
8 Fruta Recibida;27164.92;junio;2024
7 Fruta Proyectada;21000.00;junio;2024
3 Proyeccion Compra de Fruta Ajustada;11220.66;junio;2019
9 Fruta Recibida;0;junio;2025
8 Fruta Proyectada;23000.00;junio;2025
1 Fruta Recibida;11586.00;julio;2017
2 Fruta Recibida;18788.55;julio;2018
3 Fruta Recibida;10115.43;julio;2019
2 Fruta Proyectada;19000.00;julio;2019
3 Proyeccion Compra de Fruta Ajustada;10000.00;julio;2019
4 Fruta Recibida;16440.65;julio;2020
5 Fruta proyectada;14394.28;julio;2020
5 Fruta recibida;19959.58;julio;2021
3 Fruta Proyectada;16000.00;julio;2021
6 Fruta recibida;16546.44;julio;2022
4 Fruta Proyectada;17000.00;julio;2022
7 Fruta Recibida;19667.90;julio;2023
6 Fruta Proyectada;24000.00;julio;2023
8 Fruta Recibida;33174.51;julio;2024
7 Fruta Proyectada;21000.00;julio;2024
9 Fruta Recibida;0;julio;2025
8 Fruta Proyectada;27000.00;julio;2025
1 Fruta Recibida;1962.73;agosto;2017
2 Fruta Recibida;21465.93;agosto;2018
3 Fruta Recibida;11735.55;agosto;2019
2 Fruta Proyectada;22000.00;agosto;2019
3 Proyeccion Compra de Fruta Ajustada;10000.00;agosto;2019
4 Fruta Recibida;18393.85;agosto;2020
5 Fruta proyectada;15732.97;agosto;2020
5 Fruta recibida;17071.78;agosto;2021
3 Fruta Proyectada;17000.00;agosto;2021
6 Fruta recibida;18005.08;agosto;2022
4 Fruta Proyectada;18000.00;agosto;2022
7 Fruta Recibida;19359.83;agosto;2023
6 Fruta Proyectada;26000.00;agosto;2023
8 Fruta Recibida;31199.70;agosto;2024
7 Fruta Proyectada;22500.00;agosto;2024
9 Fruta Recibida;0;agosto;2025
8 Fruta Proyectada;27500.00;agosto;2025
1 Fruta Recibida;7619.44;septiembre;2017
2 Fruta Recibida;17012.78;septiembre;2018
3 Fruta Recibida;13731.99;septiembre;2019
2 Fruta Proyectada;17000.00;septiembre;2019
3 Proyeccion Compra de Fruta Ajustada;10000.00;septiembre;2019
4 Fruta Recibida;19052.23;septiembre;2020
5 Fruta proyectada;13506.39;septiembre;2020
5 Fruta recibida;12326.45;septiembre;2021
3 Fruta Proyectada;17000.00;septiembre;2021
6 Fruta recibida;21285.02;septiembre;2022
4 Fruta Proyectada;19000.00;septiembre;2022
7 Fruta Recibida;20427.70;septiembre;2023
6 Fruta Proyectada;30000.00;septiembre;2023
8 Fruta Recibida;21096.55;septiembre;2024
7 Fruta Proyectada;23500.00;septiembre;2024
9 Fruta Recibida;0;septiembre;2025
8 Fruta Proyectada;22500.00;septiembre;2025
1 Fruta Recibida;11412.44;octubre;2017
2 Fruta Recibida;13145.32;octubre;2018
3 Fruta Recibida;14490.79;octubre;2019
2 Fruta Proyectada;16000.00;octubre;2019
3 Proyeccion Compra de Fruta Ajustada;12040.00;octubre;2019
4 Fruta Recibida;18469.24;octubre;2020
5 Fruta proyectada;12592.66;octubre;2020
5 Fruta recibida;20683.87;octubre;2021
3 Fruta Proyectada;14000.00;octubre;2021
6 Fruta recibida;22834.29;octubre;2022
4 Fruta Proyectada;20000.00;octubre;2022
7 Fruta Recibida;18411.72;octubre;2023
6 Fruta Proyectada;31000.00;octubre;2023
8 Fruta Recibida;19210.17;octubre;2024
7 Fruta Proyectada;23000.00;octubre;2024
9 Fruta Recibida;0;octubre;2025
8 Fruta Proyectada;22000.00;octubre;2025
1 Fruta Recibida;8617.94;noviembre;2017
2 Fruta Recibida;15805.03;noviembre;2018
3 Fruta Recibida;10171.99;noviembre;2019
2 Fruta Proyectada;12000.00;noviembre;2019
3 Proyeccion Compra de Fruta Ajustada;8832.00;noviembre;2019
4 Fruta Recibida;10608.48;noviembre;2020
5 Fruta proyectada;12318.52;noviembre;2020
5 Fruta recibida;14214.87;noviembre;2021
3 Fruta Proyectada;13000.00;noviembre;2021
6 Fruta recibida;22296.38;noviembre;2022
4 Fruta Proyectada;13000.00;noviembre;2022
7 Fruta Recibida;21244.92;noviembre;2023
6 Fruta Proyectada;23000.00;noviembre;2023
8 Fruta Recibida;10090.04;noviembre;2024
7 Fruta Proyectada;20000.00;noviembre;2024
9 Fruta Recibida;0;noviembre;2025
8 Fruta Proyectada;22000.00;noviembre;2025
1 Fruta Recibida;5928.52;diciembre;2017
2 Fruta Recibida;11083.03;diciembre;2018
3 Fruta Recibida;5910.16;diciembre;2019
2 Fruta Proyectada;8000.00;diciembre;2019
3 Proyeccion Compra de Fruta Ajustada;5624.00;diciembre;2019
4 Fruta Recibida;11201.80;diciembre;2020
5 Fruta proyectada;8353.52;diciembre;2020
5 Fruta recibida;11145.66;diciembre;2021
3 Fruta Proyectada;8000.00;diciembre;2021
6 Fruta recibida;18329.41;diciembre;2022
4 Fruta Proyectada;9000.00;diciembre;2022
7 Fruta Recibida;12639.44;diciembre;2023
6 Fruta Proyectada;19000.00;diciembre;2023
8 Fruta Recibida;6008.27;diciembre;2024
7 Fruta Proyectada;15000.00;diciembre;2024
9 Fruta Recibida;0;diciembre;2025
8 Fruta Proyectada;17300.00;diciembre;2025
